Execução,Timestamp,Melhor Fitness,Fitness Médio,Desvio Padrão,Arquivo
1,20250626_174011,11418.99,11418.99,0.0,mono_stats_20250626_174011.txt
2,20250626_174421,11590.92,11617.53,36.59,mono_stats_20250626_174421.txt
3,20250626_174917,11062.63,11095.59,42.3,mono_stats_20250626_174917.txt
4,20250626_175321,11268.43,11268.43,0.0,mono_stats_20250626_175321.txt
5,20250626_175713,11048.67,11201.8,48.39,mono_stats_20250626_175713.txt
6,20250626_222813,11181.17,11181.17,0.0,mono_stats_20250626_222813.txt
7,20250626_223429,11290.07,11294.0,6.58,mono_stats_20250626_223429.txt
8,20250626_223734,11351.22,11389.23,53.43,mono_stats_20250626_223734.txt
9,20250626_224026,11320.07,11375.57,52.23,mono_stats_20250626_224026.txt
10,20250626_224319,11012.98,11079.58,48.4,mono_stats_20250626_224319.txt
