Execução,Timestamp,Melhor Fitness,Fitness Médio,Desvio Padrão,Arquivo
1,20251113_200402,6111.16,6170.51,26.04,multi_stats_20251113_200402.txt
2,20251113_201552,5883.07,5951.76,77.79,multi_stats_20251113_201552.txt
3,20251113_202745,5875.71,5910.14,27.96,multi_stats_20251113_202745.txt
4,20251113_203922,6169.06,6229.26,23.95,multi_stats_20251113_203922.txt
5,20251113_205618,6070.13,6091.87,48.3,multi_stats_20251113_205618.txt
6,20251113_210758,5898.35,6046.99,75.1,multi_stats_20251113_210758.txt
7,20251113_211948,6009.61,6109.89,40.7,multi_stats_20251113_211948.txt
8,20251113_213259,6178.39,6191.32,8.13,multi_stats_20251113_213259.txt
9,20251113_214448,6111.36,6121.08,7.68,multi_stats_20251113_214448.txt
10,20251113_215819,6104.86,6138.04,37.95,multi_stats_20251113_215819.txt
