Execução,Timestamp,Melhor Fitness,Fitness Médio,Desvio Padrão,Arquivo
1,20250627_012821,7899.37,7899.73,2.29,mono_stats_20250627_012821.txt
2,20250627_013117,7951.57,8082.24,94.44,mono_stats_20250627_013117.txt
3,20250627_013416,7865.58,7902.05,14.51,mono_stats_20250627_013416.txt
4,20250627_013713,7817.86,7860.19,34.73,mono_stats_20250627_013713.txt
5,20250627_014023,7880.68,7880.68,0.0,mono_stats_20250627_014023.txt
6,20250627_014322,7835.24,7937.35,49.99,mono_stats_20250627_014322.txt
7,20250627_014622,7759.37,7759.37,0.0,mono_stats_20250627_014622.txt
8,20250627_014922,7992.33,7994.4,5.06,mono_stats_20250627_014922.txt
9,20250627_015220,8185.22,8185.22,0.0,mono_stats_20250627_015220.txt
10,20250627_015522,7870.51,7887.24,60.99,mono_stats_20250627_015522.txt
