Execução,Timestamp,Melhor Fitness,Fitness Médio,Desvio Padrão,Arquivo
1,20251114_234646,7905.81,7937.5,42.71,multi_stats_20251114_234646.txt
2,20251114_235825,7616.5,7634.47,22.28,multi_stats_20251114_235825.txt
3,20251115_001523,7622.23,7713.51,36.01,multi_stats_20251115_001523.txt
4,20251115_002722,7417.57,7461.89,72.0,multi_stats_20251115_002722.txt
5,20251115_003903,7547.95,7689.39,104.98,multi_stats_20251115_003903.txt
6,20251115_005051,7664.43,7665.74,2.9,multi_stats_20251115_005051.txt
7,20251115_010242,7513.53,7663.38,80.07,multi_stats_20251115_010242.txt
8,20251115_011508,7894.63,7933.79,62.2,multi_stats_20251115_011508.txt
9,20251115_012737,7763.44,7783.75,32.55,multi_stats_20251115_012737.txt
10,20251115_013923,7530.7,7594.99,49.16,multi_stats_20251115_013923.txt
