Executando em modo automático:
  Instância: 2
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: C102.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 54715623293812
2026-05-22 09:16:23.592 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-22 09:16:23.620 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1484,81, Tempo: 5636,33, Comb: 760,28
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=1449,62, Time=5628,56, Fuel=742,43 | Unique solutions: 2056
[Eval 10000] Best: Dist=1434,07, Time=5628,56, Fuel=731,85 | Unique solutions: 4656
[Eval 15000] Best: Dist=1421,18, Time=5617,75, Fuel=727,65 | Unique solutions: 7587
[Eval 20000] Best: Dist=1403,31, Time=5617,75, Fuel=714,45 | Unique solutions: 10464
[Eval 25000] Best: Dist=1381,70, Time=5616,79, Fuel=699,75 | Unique solutions: 13670
[Eval 30000] Best: Dist=1367,56, Time=5616,10, Fuel=698,33 | Unique solutions: 17048
[Eval 35000] Best: Dist=1367,56, Time=5616,10, Fuel=698,33 | Unique solutions: 20210
[Eval 40000] Best: Dist=1337,95, Time=5608,04, Fuel=678,60 | Unique solutions: 23495
[Eval 45000] Best: Dist=1332,52, Time=5591,57, Fuel=678,60 | Unique solutions: 26553
[Eval 50000] Best: Dist=1322,94, Time=5591,57, Fuel=673,80 | Unique solutions: 29387
[Eval 55000] Best: Dist=1320,72, Time=5554,33, Fuel=671,18 | Unique solutions: 29387
[Eval 60000] Best: Dist=1314,33, Time=5527,90, Fuel=667,05 | Unique solutions: 29387
[Eval 65000] Best: Dist=1312,24, Time=5527,90, Fuel=666,38 | Unique solutions: 29387
[Eval 70000] Best: Dist=1312,24, Time=5523,95, Fuel=664,43 | Unique solutions: 29387
[Eval 75000] Best: Dist=1310,48, Time=5523,35, Fuel=664,43 | Unique solutions: 29387
[Eval 80000] Best: Dist=1310,48, Time=5523,35, Fuel=664,43 | Unique solutions: 29387
[Eval 85000] Best: Dist=1310,48, Time=5523,35, Fuel=664,43 | Unique solutions: 29387
