Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1181,34
NSGA3_TempoMin	5277,65
NSGA3_CombustivelMin	594,37
NSGA3_DistanciaMedia	1223,54
NSGA3_TempoMedio	5308,07
NSGA3_CombustivelMedio	617,60
NSGA3_FitnessPonderadoMin	7117,95
NSGA3_FitnessPonderadoMedio	7152,22
NSGA3_TamanhoFrente	10
TempoExecucao(ms)	494965
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 22334

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	1476,40	5546,42	746,03
10000	1476,40	5546,11	746,03
15000	1458,03	5544,92	737,32
20000	1450,80	5533,81	735,15
25000	1450,80	5530,47	735,15
30000	1450,80	5530,47	735,15
35000	1432,43	5528,01	726,45
40000	1432,43	5519,37	726,45
45000	1423,97	5515,06	722,10
50000	1423,97	5512,82	720,37
55000	1423,97	5501,06	720,37
60000	1408,70	5495,91	711,68
65000	1408,70	5484,33	711,68
70000	1404,06	5484,33	711,53
75000	1404,06	5484,33	711,53
80000	1399,32	5484,33	708,37
85000	1399,32	5461,92	708,37
90000	1392,59	5447,18	706,35
95000	1392,59	5447,18	706,35
100000	1374,22	5443,77	696,45
105000	1374,22	5430,27	696,45
110000	1374,05	5430,27	694,50
115000	1374,05	5430,27	694,50
120000	1374,05	5426,85	694,50
125000	1374,05	5426,85	694,50
130000	1373,94	5426,85	694,50
135000	1373,94	5421,95	694,50
140000	1373,94	5421,95	694,50
145000	1373,94	5418,53	694,50
150000	1373,94	5418,53	694,50
155000	1369,63	5417,27	692,03
160000	1367,43	5363,46	692,03
165000	1367,43	5363,46	692,03
170000	1367,43	5363,46	692,03
175000	1367,43	5363,46	690,15
180000	1367,43	5363,46	690,15
185000	1367,43	5363,46	690,15
190000	1367,43	5363,46	690,15
195000	1367,43	5356,32	690,15
200000	1367,43	5356,32	690,15
205000	1355,47	5356,32	689,18
210000	1355,47	5356,32	689,18
215000	1352,62	5356,32	685,28
220000	1351,49	5352,90	685,28
225000	1351,49	5352,90	685,28
230000	1351,49	5352,90	685,28
235000	1351,49	5352,90	685,28
240000	1344,66	5352,90	680,93
245000	1344,66	5352,90	680,93
250000	1344,66	5352,90	680,93
255000	1344,66	5352,90	680,93
260000	1344,66	5352,90	680,93
265000	1344,66	5352,90	680,93
270000	1338,85	5352,90	679,95
275000	1338,85	5352,90	679,95
280000	1338,85	5352,90	679,95
285000	1338,85	5352,90	679,95
290000	1338,85	5352,90	679,95
295000	1338,85	5352,90	677,78
300000	1313,49	5352,90	667,65
305000	1313,49	5352,90	667,65
310000	1313,49	5352,90	667,65
315000	1313,49	5352,90	667,65
320000	1313,49	5352,90	667,65
325000	1307,97	5324,62	660,52
330000	1307,97	5324,62	660,52
335000	1307,97	5324,21	660,52
340000	1305,35	5307,70	659,70
345000	1304,50	5307,70	657,68
350000	1297,01	5296,96	657,68
355000	1289,78	5296,96	650,78
360000	1281,36	5280,05	648,53
365000	1281,36	5280,05	647,10
370000	1274,49	5280,05	646,65
375000	1274,49	5280,05	646,65
380000	1274,49	5280,05	646,65
385000	1274,49	5280,05	646,65
390000	1268,49	5280,05	642,97
395000	1268,49	5280,05	642,97
400000	1268,49	5280,05	642,97
405000	1268,49	5280,05	642,97
410000	1268,29	5280,05	640,35
415000	1268,29	5280,05	640,35
420000	1268,29	5280,05	640,35
425000	1268,29	5277,52	640,35
430000	1268,29	5277,52	640,35
435000	1253,23	5277,52	634,28
440000	1253,23	5277,52	634,28
445000	1248,66	5277,52	633,68
450000	1248,66	5277,52	633,68
455000	1248,01	5277,52	633,68
460000	1248,01	5277,52	633,68
465000	1248,01	5277,52	633,68
470000	1248,01	5277,52	631,05
475000	1248,01	5277,52	631,05
480000	1248,01	5277,52	631,05
485000	1248,01	5277,52	631,05
490000	1248,01	5277,52	631,05
495000	1248,01	5277,52	631,05
500000	1248,01	5277,52	631,05
505000	1248,01	5277,52	631,05
510000	1247,63	5277,52	631,05
515000	1247,63	5277,52	631,05
520000	1247,63	5277,52	631,05
525000	1247,63	5277,52	631,05
530000	1247,63	5277,52	631,05
535000	1247,63	5277,52	631,05
540000	1247,63	5277,52	631,05
545000	1247,47	5277,52	631,05
550000	1247,47	5277,52	631,05
555000	1247,47	5277,52	631,05
560000	1247,47	5277,52	629,47
565000	1247,47	5277,52	629,47
570000	1246,94	5277,52	629,47
575000	1246,94	5277,52	629,47
580000	1246,89	5277,52	629,47
585000	1246,89	5277,52	629,47
590000	1246,89	5277,52	629,47
595000	1246,89	5277,52	629,47
600000	1246,89	5277,52	629,47
605000	1246,89	5277,52	629,47
610000	1246,89	5277,52	627,52
615000	1245,98	5277,52	627,52
620000	1245,98	5277,52	627,52
625000	1245,98	5277,52	627,52
630000	1245,98	5277,52	627,52
635000	1215,41	5277,52	613,80
640000	1215,41	5277,52	613,80
645000	1215,41	5277,52	613,80
650000	1215,41	5277,52	613,80
655000	1215,41	5277,52	613,80
660000	1213,68	5277,52	610,65
665000	1213,68	5277,52	610,65
670000	1213,68	5277,52	610,65
675000	1213,48	5277,52	610,65
680000	1213,48	5277,52	610,65
685000	1213,48	5277,52	610,65
690000	1212,38	5277,52	610,65
