Executando em modo automático:
  Instância: 21
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: R104.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 109307943916498
2026-05-23 00:43:26.217 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 00:43:26.243 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 1418,89, Tempo: 1320,04, Comb: 719,03
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=1392,80, Time=1308,61, Fuel=705,38 | Unique solutions: 2222
[Eval 10000] Best: Dist=1375,25, Time=1306,94, Fuel=696,15 | Unique solutions: 4092
[Eval 15000] Best: Dist=1375,25, Time=1303,71, Fuel=696,15 | Unique solutions: 7216
[Eval 20000] Best: Dist=1370,40, Time=1294,99, Fuel=693,15 | Unique solutions: 10663
[Eval 25000] Best: Dist=1352,74, Time=1294,99, Fuel=687,45 | Unique solutions: 14222
[Eval 30000] Best: Dist=1336,81, Time=1290,41, Fuel=678,75 | Unique solutions: 17569
[Eval 35000] Best: Dist=1336,81, Time=1289,48, Fuel=678,75 | Unique solutions: 20543
[Eval 40000] Best: Dist=1324,25, Time=1287,65, Fuel=672,15 | Unique solutions: 23591
[Eval 45000] Best: Dist=1298,72, Time=1284,90, Fuel=659,85 | Unique solutions: 26779
[Eval 50000] Best: Dist=1298,72, Time=1282,86, Fuel=659,85 | Unique solutions: 30193
[Eval 55000] Best: Dist=1298,72, Time=1281,80, Fuel=659,85 | Unique solutions: 30193
[Eval 60000] Best: Dist=1298,72, Time=1281,80, Fuel=659,85 | Unique solutions: 30193
[Eval 65000] Best: Dist=1298,72, Time=1281,80, Fuel=659,85 | Unique solutions: 30193
[Eval 70000] Best: Dist=1298,72, Time=1281,80, Fuel=659,85 | Unique solutions: 30193
[Eval 75000] Best: Dist=1296,73, Time=1281,33, Fuel=659,85 | Unique solutions: 30193
[Eval 80000] Best: Dist=1296,73, Time=1281,33, Fuel=659,85 | Unique solutions: 30193
[Eval 85000] Best: Dist=1296,73, Time=1281,33, Fuel=659,85 | Unique solutions: 30193
[Eval 90000] Best: Dist=1296,73, Time=1281,33, Fuel=658,43 | Unique solutions: 30193
[Eval 95000] Best: Dist=1296,73, Time=1280,15, Fuel=658,43 | Unique solutions: 30193
[Eval 100000] Best: Dist=1295,97, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 105000] Best: Dist=1294,39, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 110000] Best: Dist=1294,39, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 115000] Best: Dist=1294,39, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 120000] Best: Dist=1294,39, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 125000] Best: Dist=1293,82, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 130000] Best: Dist=1293,82, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 135000] Best: Dist=1293,82, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 140000] Best: Dist=1293,82, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 145000] Best: Dist=1293,82, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 150000] Best: Dist=1293,82, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 155000] Best: Dist=1293,82, Time=1280,15, Fuel=657,75 | Unique solutions: 30193
[Eval 160000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 165000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 170000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 175000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 180000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 185000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 190000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 195000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 200000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 205000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 210000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 215000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 220000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 225000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 230000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
[Eval 235000] Best: Dist=1293,82, Time=1279,87, Fuel=657,75 | Unique solutions: 30193
