Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	1341,79
NSGA3_TempoMin	1295,89
NSGA3_CombustivelMin	675,15
NSGA3_DistanciaMedia	1359,62
NSGA3_TempoMedio	1308,43
NSGA3_CombustivelMedio	684,80
NSGA3_FitnessPonderadoMin	3335,98
NSGA3_FitnessPonderadoMedio	3356,10
NSGA3_TamanhoFrente	26
TempoExecucao(ms)	481874
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 19716

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	1453,17	1376,64	732,00
10000	1453,17	1376,64	732,00
15000	1453,17	1376,17	731,32
20000	1453,17	1376,17	731,32
25000	1452,26	1376,17	729,52
30000	1452,26	1376,17	729,52
35000	1452,26	1376,17	729,52
40000	1452,26	1376,17	727,65
45000	1436,05	1376,17	723,53
50000	1436,05	1376,17	723,53
55000	1436,05	1376,17	723,53
60000	1436,05	1375,45	723,53
65000	1436,05	1375,45	723,53
70000	1436,05	1371,03	723,53
75000	1436,05	1371,03	723,53
80000	1436,05	1371,03	723,53
85000	1435,72	1371,03	723,53
90000	1435,72	1371,03	722,85
95000	1431,61	1369,26	719,85
100000	1431,61	1368,70	719,03
105000	1431,61	1367,70	719,03
110000	1431,61	1367,70	719,03
115000	1431,61	1367,70	719,03
120000	1431,61	1367,70	719,03
125000	1431,61	1367,70	718,50
130000	1430,70	1367,70	717,38
135000	1430,70	1367,70	717,38
140000	1430,70	1367,70	717,38
145000	1430,70	1367,70	717,38
150000	1421,78	1367,54	713,70
155000	1421,78	1367,54	713,70
160000	1421,78	1365,99	713,70
165000	1421,78	1365,99	713,70
170000	1421,78	1365,99	713,70
175000	1421,78	1364,40	713,70
180000	1421,78	1364,40	713,70
185000	1418,95	1364,40	708,68
190000	1418,95	1364,40	708,68
195000	1418,95	1364,40	708,68
200000	1418,95	1364,40	708,68
205000	1418,95	1364,40	708,68
210000	1418,95	1363,48	708,68
215000	1414,20	1361,82	708,68
220000	1413,44	1359,88	708,68
225000	1413,44	1359,88	708,68
230000	1413,44	1359,88	708,68
235000	1413,44	1359,88	708,68
240000	1413,44	1359,88	708,68
245000	1412,56	1359,88	708,68
250000	1411,43	1359,88	708,68
255000	1411,43	1359,88	708,68
260000	1411,43	1359,88	708,68
265000	1411,43	1359,88	708,68
270000	1410,61	1359,88	705,00
275000	1410,61	1359,88	705,00
280000	1410,61	1359,88	705,00
285000	1407,84	1359,88	705,00
290000	1407,84	1359,88	705,00
295000	1407,84	1359,88	705,00
300000	1407,84	1359,88	705,00
305000	1402,44	1359,43	705,00
310000	1402,44	1359,43	705,00
315000	1402,05	1359,43	700,65
320000	1399,61	1359,43	700,65
325000	1399,61	1359,43	700,65
330000	1399,28	1359,43	700,65
335000	1399,28	1359,43	700,65
340000	1399,28	1359,43	700,65
345000	1399,06	1359,43	700,65
350000	1399,06	1359,43	700,65
355000	1391,05	1359,43	696,30
360000	1391,05	1359,16	696,30
365000	1391,05	1359,16	696,30
370000	1391,05	1359,16	696,30
375000	1391,05	1359,16	696,30
380000	1391,05	1359,16	696,30
385000	1391,05	1359,16	696,30
390000	1391,05	1359,14	696,30
395000	1391,05	1358,81	696,30
400000	1391,05	1358,81	696,30
405000	1391,05	1358,81	696,30
410000	1388,56	1358,72	694,58
415000	1388,56	1358,72	694,58
420000	1388,56	1358,72	694,58
425000	1388,56	1358,72	694,58
430000	1388,56	1358,72	694,58
435000	1388,56	1358,72	694,58
440000	1388,56	1358,72	694,58
445000	1388,56	1356,33	694,58
450000	1388,56	1356,33	694,58
455000	1388,56	1356,33	694,58
460000	1388,56	1356,33	694,58
465000	1388,56	1356,33	694,58
470000	1388,56	1356,33	694,58
475000	1388,56	1356,33	694,58
480000	1388,56	1356,33	694,58
485000	1388,56	1356,33	694,58
490000	1388,56	1356,33	694,58
495000	1388,01	1355,37	694,58
500000	1387,68	1355,37	694,58
505000	1387,68	1355,37	694,58
510000	1387,68	1355,37	694,58
515000	1387,68	1355,37	694,58
520000	1387,68	1355,37	694,58
525000	1387,68	1355,37	694,58
530000	1387,68	1355,37	694,58
535000	1387,68	1353,78	694,58
540000	1387,68	1353,78	694,58
545000	1387,68	1353,78	694,58
550000	1387,68	1353,78	694,58
555000	1387,68	1353,78	694,58
560000	1387,68	1353,78	694,58
565000	1387,68	1353,78	694,58
570000	1387,68	1353,78	694,58
575000	1387,68	1353,78	694,58
580000	1387,68	1353,78	694,58
585000	1387,68	1353,78	694,58
590000	1387,68	1346,58	694,58
595000	1387,68	1346,58	694,58
600000	1387,68	1346,58	694,58
605000	1387,13	1346,58	694,58
610000	1387,13	1346,58	694,58
615000	1387,13	1345,88	694,58
620000	1387,13	1345,88	694,58
625000	1387,13	1345,88	694,58
630000	1387,13	1344,60	694,58
635000	1387,13	1344,60	694,58
640000	1385,75	1344,60	694,58
645000	1385,75	1344,60	694,58
650000	1385,75	1343,09	694,58
655000	1385,75	1343,09	694,58
660000	1385,75	1343,09	694,58
665000	1385,75	1343,09	694,58
670000	1385,75	1343,09	694,58
675000	1385,75	1343,09	694,58
680000	1385,75	1343,09	694,58
685000	1376,38	1343,09	692,33
690000	1376,38	1343,09	692,33
695000	1376,38	1343,09	692,33
700000	1376,38	1343,09	692,33
705000	1376,38	1343,09	692,33
710000	1376,38	1343,09	692,33
715000	1376,38	1343,09	692,33
720000	1376,38	1343,09	692,33
725000	1376,38	1343,09	692,33
730000	1376,38	1342,60	692,33
735000	1376,38	1342,60	692,33
740000	1376,38	1342,60	692,33
745000	1376,38	1342,60	692,33
750000	1376,38	1342,60	692,33
755000	1376,38	1342,60	692,33
760000	1376,38	1342,60	692,33
765000	1376,38	1334,98	692,33
770000	1376,38	1334,98	692,33
775000	1376,38	1333,80	692,33
780000	1376,38	1333,80	692,33
785000	1376,38	1327,91	692,33
790000	1376,38	1327,91	692,33
795000	1376,38	1327,91	692,33
800000	1376,38	1327,91	692,33
805000	1376,38	1327,91	692,33
810000	1376,38	1327,91	692,33
815000	1376,38	1327,91	692,33
820000	1376,38	1327,91	692,33
825000	1376,38	1327,91	692,33
830000	1376,38	1327,91	692,33
835000	1375,58	1327,91	692,33
840000	1375,58	1327,91	692,33
845000	1375,58	1327,91	692,33
850000	1375,58	1327,91	692,33
855000	1375,58	1327,91	692,33
860000	1375,58	1327,91	692,33
865000	1375,58	1327,54	692,33
870000	1372,18	1327,54	687,60
875000	1367,61	1324,65	687,60
880000	1358,58	1324,65	683,03
885000	1358,58	1324,65	683,03
890000	1358,58	1324,65	683,03
895000	1358,58	1323,36	683,03
900000	1358,58	1323,01	683,03
905000	1358,58	1323,01	683,03
910000	1354,01	1320,31	683,03
915000	1354,01	1320,31	683,03
920000	1354,01	1320,11	683,03
925000	1354,01	1320,11	683,03
930000	1354,01	1320,11	683,03
935000	1354,01	1317,50	683,03
940000	1354,01	1317,50	683,03
945000	1354,01	1317,50	683,03
950000	1352,86	1317,50	683,03
955000	1352,86	1317,50	683,03
960000	1352,86	1316,84	683,03
965000	1352,86	1316,84	683,03
970000	1352,86	1315,88	683,03
975000	1352,86	1315,88	683,03
980000	1352,86	1315,88	683,03
985000	1352,86	1315,88	683,03
990000	1349,97	1315,83	681,15
995000	1349,97	1315,83	681,15
1000000	1349,97	1313,99	681,15
1005000	1349,97	1313,99	681,15
1010000	1349,97	1312,45	681,15
1015000	1349,97	1312,45	681,15
1020000	1349,97	1312,45	681,15
1025000	1349,97	1312,45	681,15
1030000	1349,97	1312,45	681,15
1035000	1349,97	1312,45	681,15
1040000	1349,97	1312,45	681,15
1045000	1349,97	1312,45	681,15
1050000	1349,97	1312,45	681,15
1055000	1349,97	1312,45	681,15
1060000	1349,97	1312,45	681,15
1065000	1349,97	1312,45	681,15
1070000	1349,97	1312,45	681,15
1075000	1349,97	1312,45	681,15
1080000	1349,97	1312,45	681,15
1085000	1349,97	1312,45	681,15
1090000	1349,97	1312,45	681,15
1095000	1349,97	1312,45	681,15
1100000	1349,97	1312,45	681,15
1105000	1349,97	1312,45	681,15
1110000	1349,97	1312,45	681,15
1115000	1349,97	1312,45	681,15
1120000	1349,97	1312,45	681,15
1125000	1348,94	1312,45	680,63
1130000	1348,94	1312,45	680,63
1135000	1348,94	1312,45	680,63
1140000	1348,94	1312,45	680,63
1145000	1348,94	1312,45	680,63
1150000	1348,94	1312,45	680,63
1155000	1348,94	1312,45	680,63
1160000	1348,94	1312,45	680,63
1165000	1348,94	1312,45	680,63
1170000	1348,94	1312,45	680,63
1175000	1348,94	1312,45	680,63
1180000	1348,94	1310,73	680,63
1185000	1348,94	1310,73	680,63
1190000	1348,94	1310,73	680,63
1195000	1348,94	1310,72	680,63
1200000	1348,94	1310,72	680,63
1205000	1348,94	1310,72	680,63
1210000	1348,94	1310,72	680,63
1215000	1348,94	1310,72	680,63
1220000	1348,74	1310,72	680,63
1225000	1348,74	1310,72	680,63
1230000	1348,74	1310,72	680,63
1235000	1348,74	1310,55	680,63
1240000	1348,74	1310,55	680,63
1245000	1348,74	1310,55	680,63
1250000	1348,74	1310,55	680,63
1255000	1348,74	1310,55	680,63
1260000	1348,74	1308,15	680,63
1265000	1348,74	1308,15	680,63
1270000	1348,74	1308,15	680,63
1275000	1348,74	1308,15	680,63
1280000	1348,74	1308,15	680,63
1285000	1348,74	1308,11	680,63
1290000	1348,74	1308,11	680,63
1295000	1348,74	1308,11	680,63
1300000	1348,74	1308,11	680,63
1305000	1348,74	1306,75	680,63
1310000	1348,74	1306,75	680,63
1315000	1348,74	1304,17	680,63
1320000	1348,74	1304,17	680,63
1325000	1348,74	1304,17	680,63
1330000	1348,74	1304,17	680,63
1335000	1348,74	1304,17	680,63
1340000	1348,74	1304,17	680,63
1345000	1348,74	1304,17	680,63
1350000	1348,74	1304,17	680,63
1355000	1348,74	1304,17	680,63
1360000	1348,74	1304,17	680,63
1365000	1348,74	1304,17	680,63
1370000	1348,74	1304,17	680,63
1375000	1348,74	1304,17	680,63
1380000	1348,74	1304,17	680,63
1385000	1348,74	1302,01	680,63
1390000	1348,74	1302,01	680,63
1395000	1348,74	1302,01	680,63
1400000	1348,74	1302,01	680,63
1405000	1348,74	1302,01	680,63
1410000	1348,74	1302,01	680,63
1415000	1348,74	1302,01	680,63
1420000	1348,74	1302,01	680,63
1425000	1348,74	1302,01	680,63
1430000	1348,74	1302,01	680,63
1435000	1348,74	1302,01	680,63
1440000	1348,74	1302,01	680,63
1445000	1348,74	1301,55	680,63
1450000	1348,74	1301,55	680,63
1455000	1347,00	1301,49	677,63
1460000	1347,00	1299,39	677,63
1465000	1347,00	1299,39	677,03
1470000	1347,00	1299,39	677,03
1475000	1347,00	1299,39	677,03
1480000	1347,00	1299,39	677,03
1485000	1347,00	1299,39	677,03
1490000	1347,00	1299,39	677,03
1495000	1347,00	1299,39	677,03
1500000	1347,00	1299,39	677,03
1505000	1347,00	1299,39	677,03
1510000	1347,00	1299,39	677,03
1515000	1347,00	1299,39	677,03
1520000	1347,00	1299,39	677,03
1525000	1347,00	1297,34	677,03
1530000	1345,51	1297,34	677,03
1535000	1345,51	1297,34	675,68
1540000	1345,51	1297,34	675,68
1545000	1345,51	1297,34	675,68
1550000	1345,51	1297,34	675,68
1555000	1345,51	1297,34	675,68
1560000	1345,51	1297,34	675,68
1565000	1345,51	1297,34	675,68
1570000	1345,51	1297,34	675,68
1575000	1345,51	1297,34	675,68
1580000	1345,51	1297,34	675,68
1585000	1345,51	1296,82	675,68
1590000	1345,51	1296,82	675,68
1595000	1345,51	1296,82	675,68
1600000	1345,51	1296,82	675,68
1605000	1345,51	1296,82	675,68
1610000	1345,51	1296,82	675,68
1615000	1345,51	1296,82	675,68
1620000	1345,51	1296,82	675,68
1625000	1345,51	1296,82	675,68
1630000	1344,94	1296,82	675,68
1635000	1344,51	1296,82	675,68
1640000	1344,51	1296,82	675,68
1645000	1344,51	1296,82	675,68
1650000	1344,51	1296,82	675,15
1655000	1344,51	1296,82	675,15
1660000	1344,51	1296,82	675,15
1665000	1344,42	1296,82	675,15
1670000	1344,42	1296,82	675,15
1675000	1343,71	1296,82	675,15
1680000	1343,71	1296,82	675,15
1685000	1343,71	1296,82	675,15
1690000	1343,71	1296,82	675,15
1695000	1343,71	1296,82	675,15
1700000	1343,71	1296,82	675,15
1705000	1343,71	1296,82	675,15
1710000	1343,71	1296,82	675,15
1715000	1343,27	1296,82	675,15
1720000	1343,27	1296,82	675,15
1725000	1343,27	1296,82	675,15
1730000	1343,27	1296,82	675,15
1735000	1343,27	1295,99	675,15
1740000	1343,27	1295,99	675,15
1745000	1343,27	1295,99	675,15
1750000	1343,27	1295,99	675,15
1755000	1343,27	1295,89	675,15
1760000	1341,79	1295,89	675,15
1765000	1341,79	1295,89	675,15
1770000	1341,79	1295,89	675,15
1775000	1341,79	1295,89	675,15
1780000	1341,79	1295,89	675,15
1785000	1341,79	1295,89	675,15

=== MELHOR SOLUCAO (Fitness Ponderado Minimo) ===
Fitness Ponderado: 3335,980374
Distancia: 1344,42
Tempo: 1312,63
Combustivel: 675,68

Veiculo 0: 10 clientes, demanda: 154/200, rota: [33, 51, 65, 71, 9, 81, 3, 77, 50, 28]
Veiculo 1: 11 clientes, demanda: 148/200, rota: [48, 47, 36, 8, 82, 7, 52, 18, 83, 60, 89]
Veiculo 2: 11 clientes, demanda: 158/200, rota: [26, 73, 21, 40, 53, 6, 95, 94, 13, 2, 58]
Veiculo 3: 9 clientes, demanda: 108/200, rota: [31, 11, 64, 63, 90, 32, 20, 70, 1]
Veiculo 4: 11 clientes, demanda: 195/200, rota: [45, 5, 99, 59, 96, 84, 61, 85, 93, 98, 97]
Veiculo 5: 10 clientes, demanda: 101/200, rota: [92, 42, 43, 15, 57, 87, 14, 91, 100, 37]
Veiculo 6: 9 clientes, demanda: 126/200, rota: [24, 76, 79, 78, 34, 29, 68, 80, 12]
Veiculo 7: 9 clientes, demanda: 160/200, rota: [72, 75, 39, 23, 67, 56, 55, 25, 54]
Veiculo 8: 6 clientes, demanda: 91/200, rota: [16, 44, 38, 86, 17, 46]
Veiculo 9: 5 clientes, demanda: 98/200, rota: [27, 62, 19, 49, 10]
Veiculo 10: 3 clientes, demanda: 54/200, rota: [30, 66, 35]
Veiculo 11: 4 clientes, demanda: 50/200, rota: [22, 41, 74, 4]
Veiculo 12: 2 clientes, demanda: 15/200, rota: [69, 88]
