Subpopulacao\Geracao	gFinal
NSGA3_DistanciaMin	2081,07
NSGA3_TempoMin	1817,50
NSGA3_CombustivelMin	1049,77
NSGA3_DistanciaMedia	2094,40
NSGA3_TempoMedio	1841,01
NSGA3_CombustivelMedio	1059,85
NSGA3_FitnessPonderadoMin	4959,16
NSGA3_FitnessPonderadoMedio	4987,51
NSGA3_TamanhoFrente	11
TempoExecucao(ms)	476635
Parametros	Pop=600; Geracoes=3000; Pc=1,00; Pm=0,01

=== DIAGNOSTICO ===
Solucoes criadas: 596
Total avaliacoes: 1788596
Solucoes unicas: 29183

=== HISTORICO DE EVOLUCAO ===
Eval	BestDist	BestTime	BestFuel
5000	2330,35	1961,21	1181,03
10000	2330,35	1950,46	1181,03
15000	2330,35	1950,46	1181,03
20000	2330,35	1948,59	1181,03
25000	2330,35	1948,59	1181,03
30000	2318,62	1941,35	1177,13
35000	2318,62	1941,35	1177,13
40000	2318,62	1941,35	1175,25
45000	2309,88	1936,83	1171,58
50000	2309,88	1936,80	1171,58
55000	2309,88	1936,80	1170,75
60000	2301,82	1936,80	1167,30
65000	2301,82	1936,80	1167,30
70000	2279,97	1934,17	1158,53
75000	2279,97	1934,17	1158,53
80000	2279,97	1928,42	1158,53
85000	2279,97	1926,20	1158,53
90000	2279,97	1926,20	1158,53
95000	2279,97	1922,06	1158,53
100000	2277,19	1920,95	1157,32
105000	2277,19	1912,83	1156,05
110000	2273,86	1912,83	1154,55
115000	2273,86	1912,83	1154,55
120000	2273,86	1912,83	1154,55
125000	2273,86	1912,83	1150,28
130000	2273,86	1912,83	1150,28
135000	2273,86	1908,33	1150,28
140000	2271,08	1908,33	1150,28
145000	2267,98	1908,33	1150,28
150000	2267,98	1908,33	1150,28
155000	2267,98	1908,33	1150,28
160000	2267,98	1908,33	1150,28
165000	2267,98	1908,33	1150,28
170000	2257,36	1908,33	1148,55
175000	2257,36	1908,33	1148,55
180000	2237,34	1905,85	1136,70
185000	2237,34	1905,85	1136,70
190000	2237,34	1905,85	1136,70
195000	2237,34	1905,38	1136,70
200000	2237,34	1905,38	1136,70
205000	2237,34	1905,38	1136,70
210000	2237,34	1900,94	1136,70
215000	2237,34	1900,94	1136,70
220000	2222,42	1900,88	1131,67
225000	2222,42	1900,88	1131,67
230000	2222,42	1900,88	1131,67
235000	2222,42	1900,88	1131,67
240000	2222,42	1900,88	1131,67
245000	2222,42	1900,88	1131,67
250000	2222,42	1893,62	1131,67
255000	2222,42	1893,62	1131,67
260000	2222,42	1893,62	1131,67
265000	2219,98	1893,62	1129,73
270000	2219,98	1893,62	1127,48
275000	2219,98	1893,27	1127,48
280000	2218,86	1893,27	1126,05
285000	2215,79	1893,27	1126,05
290000	2215,79	1892,02	1126,05
295000	2208,93	1892,02	1126,05
300000	2208,93	1891,99	1126,05
305000	2208,93	1891,99	1126,05
310000	2207,90	1891,99	1124,32
315000	2207,90	1887,18	1124,32
320000	2207,90	1887,18	1124,32
325000	2207,90	1887,18	1124,32
330000	2207,90	1887,18	1124,32
335000	2207,90	1887,18	1124,32
340000	2207,90	1887,18	1124,32
345000	2207,90	1887,18	1124,32
350000	2207,90	1886,69	1124,32
355000	2207,90	1886,69	1124,32
360000	2200,09	1884,57	1123,43
365000	2200,09	1884,57	1119,82
370000	2200,00	1880,43	1119,82
375000	2200,00	1880,43	1118,17
380000	2200,00	1880,43	1118,17
385000	2200,00	1880,43	1118,17
390000	2200,00	1880,43	1118,17
395000	2200,00	1880,43	1118,17
400000	2200,00	1880,43	1118,17
405000	2197,85	1879,24	1118,17
410000	2197,85	1879,24	1118,17
415000	2197,85	1879,24	1118,17
420000	2197,85	1878,41	1118,17
425000	2197,85	1873,79	1118,17
430000	2194,29	1870,79	1114,80
435000	2194,29	1870,79	1114,80
440000	2194,29	1870,79	1114,80
445000	2188,31	1870,79	1114,80
450000	2188,31	1870,79	1114,80
455000	2188,31	1870,79	1114,80
460000	2188,31	1870,79	1114,80
465000	2188,31	1860,30	1114,80
470000	2188,31	1860,30	1114,80
475000	2188,31	1860,30	1114,80
480000	2188,31	1860,30	1114,80
485000	2188,31	1860,30	1114,80
490000	2188,31	1860,30	1114,80
495000	2188,31	1859,82	1114,35
500000	2188,31	1859,82	1114,35
505000	2188,31	1859,82	1112,40
510000	2188,31	1858,30	1112,40
515000	2188,31	1858,30	1112,40
520000	2188,31	1858,30	1110,07
525000	2188,31	1858,30	1110,07
530000	2188,31	1858,30	1110,07
535000	2188,31	1858,30	1110,07
540000	2188,31	1858,30	1110,07
545000	2188,31	1858,30	1110,07
550000	2188,31	1858,30	1110,07
555000	2188,31	1858,30	1110,07
560000	2188,31	1858,30	1110,07
565000	2188,31	1858,30	1110,07
570000	2188,31	1858,30	1110,07
575000	2188,31	1858,30	1110,07
580000	2188,31	1858,30	1110,07
585000	2188,31	1858,30	1110,07
590000	2188,31	1858,30	1110,07
595000	2188,31	1858,30	1110,07
600000	2184,63	1858,30	1107,98
605000	2184,63	1858,30	1107,98
610000	2184,63	1858,30	1107,98
615000	2184,63	1858,30	1107,98
620000	2184,63	1858,30	1107,98
625000	2184,63	1858,30	1107,98
630000	2184,63	1858,30	1107,98
635000	2184,63	1858,30	1107,98
640000	2184,63	1858,30	1107,98
645000	2180,71	1858,30	1107,98
650000	2179,39	1858,30	1107,98
655000	2179,39	1857,82	1107,98
660000	2179,39	1857,82	1107,98
665000	2176,71	1856,70	1107,98
670000	2176,71	1856,70	1107,98
675000	2176,71	1856,70	1107,98
680000	2176,71	1856,70	1107,98
685000	2176,71	1856,70	1107,98
690000	2176,71	1856,70	1107,90
695000	2176,71	1856,70	1106,25
700000	2176,71	1856,70	1106,25
705000	2176,71	1856,70	1106,25
710000	2176,71	1856,70	1106,25
715000	2176,71	1856,70	1106,25
720000	2176,71	1856,70	1106,25
725000	2176,71	1856,70	1106,25
730000	2173,16	1856,70	1103,18
735000	2173,16	1856,70	1103,18
740000	2173,16	1856,70	1103,18
745000	2173,16	1856,70	1103,18
750000	2173,16	1856,70	1103,18
755000	2173,16	1856,70	1103,18
