Executando em modo automático:
  Instância: 42
  Algoritmo: NSGA-III
  Tipo: Solomon

Tipo selecionado: Instâncias Solomon

=== MENU DE SELEÇÃO DE INSTÂNCIA ===

Instância selecionada: RC102.txt
Number of vehicles: 25
Vehicle capacity: 200
Number of clients: 101

=== NSGA-III para Problema de Roteamento de Veiculos ===

Configuracao do Problema:
- Clientes: 100, Veiculos: 25, Capacidade: 200
- Objetivos: Distancia, Tempo, Combustivel
- Constraints: Capacidade, Time Windows, Cobertura

DEBUG: Seed JMetal: 141693539378271
2026-05-23 09:58:40.700 INFO: Loggers configured with null [org.uma.jmetal.util.JMetalLogger configureLoggers]
2026-05-23 09:58:40.725 INFO: rpssize: 595 [org.uma.jmetal.algorithm.multiobjective.nsgaiii.NSGAIII <init>]
Configuracao do NSGA-III:
- Pop solicitada: 600
- Geracoes: 3000
- Crossover: OnePoint por coluna (Pc=1.0)
- Mutacao: Swap intra+inter rota (Pm=0.01)
- Selecao: Binary Tournament

Iniciando execucao...

DEBUG: Primeira solucao criada - Dist: 2090,69, Tempo: 1736,74, Comb: 1054,65
DEBUG: 100 solucoes criadas na inicializacao
DEBUG: 200 solucoes criadas na inicializacao
DEBUG: 300 solucoes criadas na inicializacao
DEBUG: 400 solucoes criadas na inicializacao
DEBUG: 500 solucoes criadas na inicializacao
[Eval 5000] Best: Dist=2065,03, Time=1723,20, Fuel=1038,00 | Unique solutions: 2421
[Eval 10000] Best: Dist=2055,37, Time=1723,20, Fuel=1037,33 | Unique solutions: 4259
[Eval 15000] Best: Dist=2031,56, Time=1723,20, Fuel=1024,20 | Unique solutions: 6145
[Eval 20000] Best: Dist=2031,56, Time=1723,20, Fuel=1024,20 | Unique solutions: 8457
[Eval 25000] Best: Dist=2031,56, Time=1719,68, Fuel=1024,20 | Unique solutions: 11580
[Eval 30000] Best: Dist=2030,84, Time=1717,60, Fuel=1022,40 | Unique solutions: 15383
[Eval 35000] Best: Dist=2030,84, Time=1717,60, Fuel=1022,40 | Unique solutions: 19318
[Eval 40000] Best: Dist=2024,04, Time=1717,60, Fuel=1022,40 | Unique solutions: 23184
[Eval 45000] Best: Dist=2024,04, Time=1716,50, Fuel=1021,72 | Unique solutions: 26977
[Eval 50000] Best: Dist=2020,39, Time=1715,87, Fuel=1017,53 | Unique solutions: 30923
[Eval 55000] Best: Dist=2020,39, Time=1715,87, Fuel=1017,53 | Unique solutions: 30923
[Eval 60000] Best: Dist=2020,39, Time=1714,32, Fuel=1017,53 | Unique solutions: 30923
[Eval 65000] Best: Dist=2006,30, Time=1709,73, Fuel=1014,22 | Unique solutions: 30923
[Eval 70000] Best: Dist=2006,30, Time=1709,73, Fuel=1014,22 | Unique solutions: 30923
[Eval 75000] Best: Dist=2006,30, Time=1708,21, Fuel=1014,22 | Unique solutions: 30923
[Eval 80000] Best: Dist=2003,78, Time=1706,99, Fuel=1012,58 | Unique solutions: 30923
[Eval 85000] Best: Dist=2003,44, Time=1705,61, Fuel=1012,58 | Unique solutions: 30923
[Eval 90000] Best: Dist=1996,59, Time=1705,61, Fuel=1005,82 | Unique solutions: 30923
[Eval 95000] Best: Dist=1996,59, Time=1703,42, Fuel=1005,82 | Unique solutions: 30923
[Eval 100000] Best: Dist=1996,30, Time=1702,67, Fuel=1005,82 | Unique solutions: 30923
[Eval 105000] Best: Dist=1977,04, Time=1702,67, Fuel=997,65 | Unique solutions: 30923
[Eval 110000] Best: Dist=1977,04, Time=1702,67, Fuel=997,65 | Unique solutions: 30923
[Eval 115000] Best: Dist=1977,04, Time=1702,67, Fuel=997,65 | Unique solutions: 30923
[Eval 120000] Best: Dist=1976,03, Time=1699,49, Fuel=997,65 | Unique solutions: 30923
[Eval 125000] Best: Dist=1958,86, Time=1699,15, Fuel=988,95 | Unique solutions: 30923
