category,instance,best_exec,best_veh,best_dist,mean_dist,max_dist,std_dist,n_execs,algo
C1,C101,06,13,1201.11,1214.597,1245.2,21.120893841565227,10,NSGA-III
C1,C102,02,11,1249.56,1277.369,1310.48,28.64757676391576,10,NSGA-III
C1,C103,04,10,1185.72,1278.801,1366.23,58.64661332459396,10,NSGA-III
C1,C104,04,10,1119.08,1143.278,1196.31,26.261288704944445,10,NSGA-III
C1,C105,02,12,1174.61,1248.417,1314.14,48.38535821919689,10,NSGA-III
C1,C106,04,11,1328.67,1335.9850000000001,1346.92,9.411353958561625,10,NSGA-III
C1,C107,06,13,1107.37,1199.865,1304.3,70.15863283382245,10,NSGA-III
C1,C108,08,12,1170.38,1220.802,1313.98,39.622500566106496,10,NSGA-III
C1,C109,04,11,1247.6,1266.533,1285.82,17.562261971498884,10,NSGA-III
R1,R101,08,21,1884.79,1895.288,1904.88,6.860061224216641,10,NSGA-III
R1,R102,08,20,1813.41,1827.783,1841.46,10.39527889637087,10,NSGA-III
R1,R103,07,16,1535.31,1557.173,1570.81,12.272460633467098,10,NSGA-III
R1,R104,01,12,1264.56,1291.269,1312.95,14.42371846801112,10,NSGA-III
R1,R105,06,17,1693.46,1698.49,1702.47,3.335302751542079,10,NSGA-III
R1,R106,06,15,1499.86,1521.129,1535.87,11.273598902844734,10,NSGA-III
R1,R107,05,13,1341.79,1374.1779999999999,1396.0,19.626147977747546,10,NSGA-III
R1,R108,01,11,1148.44,1180.206,1198.39,18.388033669270424,10,NSGA-III
R1,R109,02,15,1401.31,1431.4759999999999,1471.9,21.135401160664617,10,NSGA-III
RC1,RC101,06,19,2007.97,2092.882,2155.87,38.14693487031422,10,NSGA-III
RC1,RC102,03,16,1779.46,1829.9769999999999,1848.84,19.055408127061668,10,NSGA-III
RC1,RC103,05,13,1634.93,1665.7450000000001,1671.47,12.63293513004796,10,NSGA-III
RC1,RC104,09,12,1447.34,1461.387,1524.1,22.266144230398027,10,NSGA-III
RC1,RC105,04,17,1755.03,1814.137,1873.12,33.29269991721574,10,NSGA-III
RC1,RC106,10,15,1623.44,1720.979,1747.8,36.09474521619763,10,NSGA-III
RC1,RC107,02,14,1609.62,1636.673,1696.95,27.744116513436015,10,NSGA-III
RC1,RC108,08,13,1506.0,1534.008,1548.44,13.598507924687086,10,NSGA-III
